Date,Decimal Date,Average,Interpolated,Trend,Number of Days
1965-04,1965.2877,322.14,319.79,-01,-9.99,-0.99
1965-05,1965.3699,322.17,319.28,-01,-9.99,-0.99
1965-06,1965.4548,321.87,319.68,-01,-9.99,-0.99
1965-07,1965.5370,321.21,320.53,-01,-9.99,-0.99
1965-08,1965.6219,318.87,320.18,-01,-9.99,-0.99
1965-09,1965.7068,317.82,320.78,-01,-9.99,-0.99
1965-10,1965.7890,317.30,320.37,-01,-9.99,-0.99
1965-11,1965.8740,318.87,320.79,-01,-9.99,-0.99
1965-12,1965.9562,319.42,320.20,-01,-9.99,-0.99
1966-01,1966.0411,320.62,320.57,-01,-9.99,-0.99
1966-02,1966.1260,321.60,320.94,-01,-9.99,-0.99
1966-03,1966.2027,322.39,321.08,-01,-9.99,-0.99
1966-04,1966.2877,323.70,321.34,-01,-9.99,-0.99
1966-05,1966.3699,324.08,321.18,-01,-9.99,-0.99
1966-06,1966.4548,323.75,321.55,-01,-9.99,-0.99
1966-07,1966.5370,322.37,321.69,-01,-9.99,-0.99
1966-08,1966.6219,320.36,321.68,-01,-9.99,-0.99
1966-09,1966.7068,318.64,321.61,-01,-9.99,-0.99
1966-10,1966.7890,318.10,321.18,-01,-9.99,-0.99
1966-11,1966.8740,319.78,321.71,-01,-9.99,-0.99
1966-12,1966.9562,321.02,321.81,-01,-9.99,-0.99
1967-01,1967.0411,322.33,322.28,-01,-9.99,-0.99
1967-02,1967.1260,322.50,321.83,-01,-9.99,-0.99
1967-03,1967.2027,323.03,321.72,-01,-9.99,-0.99
1967-04,1967.2877,324.41,322.05,-01,-9.99,-0.99
1967-05,1967.3699,325.00,322.09,-01,-9.99,-0.99
1967-06,1967.4548,324.09,321.89,-01,-9.99,-0.99
1967-07,1967.5370,322.54,321.86,-01,-9.99,-0.99
1967-08,1967.6219,320.92,322.24,-01,-9.99,-0.99
1967-09,1967.7068,319.25,322.24,-01,-9.99,-0.99
1967-10,1967.7890,319.39,322.48,-01,-9.99,-0.99
1967-11,1967.8740,320.73,322.66,-01,-9.99,-0.99
1967-12,1967.9562,321.96,322.74,-01,-9.99,-0.99
1968-01,1968.0410,322.57,322.51,-01,-9.99,-0.99
1968-02,1968.1257,323.15,322.48,-01,-9.99,-0.99
1968-03,1968.2049,323.89,322.55,-01,-9.99,-0.99
1968-04,1968.2896,325.02,322.63,-01,-9.99,-0.99
1968-05,1968.3716,325.57,322.66,-01,-9.99,-0.99
1968-06,1968.4563,325.36,323.17,-01,-9.99,-0.99
1968-07,1968.5383,324.14,323.48,-01,-9.99,-0.99
1968-08,1968.6230,322.11,323.46,-01,-9.99,-0.99
1968-09,1968.7077,320.33,323.33,-01,-9.99,-0.99
1968-10,1968.7896,320.25,323.34,-01,-9.99,-0.99
1968-11,1968.8743,321.32,323.26,-01,-9.99,-0.99
1968-12,1968.9563,322.89,323.68,-01,-9.99,-0.99
1969-01,1969.0411,324.00,323.95,-01,-9.99,-0.99
1969-02,1969.1260,324.41,323.75,-01,-9.99,-0.99
1969-03,1969.2027,325.63,324.31,-01,-9.99,-0.99
1969-04,1969.2877,326.66,324.28,-01,-9.99,-0.99
1969-05,1969.3699,327.38,324.46,-01,-9.99,-0.99
1969-06,1969.4548,326.71,324.49,-01,-9.99,-0.99
1969-07,1969.5370,325.88,325.19,-01,-9.99,-0.99
1969-08,1969.6219,323.66,324.99,-01,-9.99,-0.99
1969-09,1969.7068,322.38,325.38,-01,-9.99,-0.99
1969-10,1969.7890,321.78,324.89,-01,-9.99,-0.99
1969-11,1969.8740,322.85,324.80,-01,-9.99,-0.99
1969-12,1969.9562,324.11,324.91,-01,-9.99,-0.99
1970-01,1970.0411,325.06,325.01,-01,-9.99,-0.99
1970-02,1970.1260,325.99,325.31,-01,-9.99,-0.99
1970-03,1970.2027,326.93,325.61,-01,-9.99,-0.99
1970-04,1970.2877,328.13,325.75,-01,-9.99,-0.99
1970-05,1970.3699,328.08,325.15,-01,-9.99,-0.99
1970-06,1970.4548,327.67,325.44,-01,-9.99,-0.99
1970-07,1970.5370,326.34,325.65,-01,-9.99,-0.99
1970-08,1970.6219,324.68,326.02,-01,-9.99,-0.99
1970-09,1970.7068,323.10,326.11,-01,-9.99,-0.99
1970-10,1970.7890,323.06,326.18,-01,-9.99,-0.99
1970-11,1970.8740,324.01,325.96,-01,-9.99,-0.99
1970-12,1970.9562,325.13,325.93,-01,-9.99,-0.99
1971-01,1971.0411,326.17,326.12,-01,-9.99,-0.99
1971-02,1971.1260,326.69,326.01,-01,-9.99,-0.99
1971-03,1971.2027,327.18,325.85,-01,-9.99,-0.99
1971-04,1971.2877,327.78,325.39,-01,-9.99,-0.99
1971-05,1971.3699,328.93,325.99,-01,-9.99,-0.99
1971-06,1971.4548,328.57,326.34,-01,-9.99,-0.99
1971-07,1971.5370,327.36,326.67,-01,-9.99,-0.99
1971-08,1971.6219,325.43,326.77,-01,-9.99,-0.99
1971-09,1971.7068,323.36,326.38,-01,-9.99,-0.99
1971-10,1971.7890,323.56,326.69,-01,-9.99,-0.99
1971-11,1971.8740,324.80,326.75,-01,-9.99,-0.99
1971-12,1971.9562,326.01,326.81,-01,-9.99,-0.99
1972-01,1972.0410,326.77,326.71,-01,-9.99,-0.99
1972-02,1972.1257,327.63,326.96,-01,-9.99,-0.99
1972-03,1972.2049,327.75,326.39,-01,-9.99,-0.99
1972-04,1972.2896,329.72,327.30,-01,-9.99,-0.99
1972-05,1972.3716,330.07,327.12,-01,-9.99,-0.99
1972-06,1972.4563,329.09,326.87,-01,-9.99,-0.99
1972-07,1972.5383,328.04,327.38,-01,-9.99,-0.99
1972-08,1972.6230,326.32,327.69,-01,-9.99,-0.99
1972-09,1972.7077,324.84,327.88,-01,-9.99,-0.99
1972-10,1972.7896,325.20,328.33,-01,-9.99,-0.99
1972-11,1972.8743,326.50,328.46,-01,-9.99,-0.99
1972-12,1972.9563,327.55,328.35,-01,-9.99,-0.99
1973-01,1973.0411,328.55,328.49,-01,-9.99,-0.99
1973-02,1973.1260,329.57,328.89,-01,-9.99,-0.99
1973-03,1973.2027,330.30,328.97,-01,-9.99,-0.99
1973-04,1973.2877,331.50,329.10,-01,-9.99,-0.99
1973-05,1973.3699,332.48,329.52,-01,-9.99,-0.99
1973-06,1973.4548,332.07,329.83,-01,-9.99,-0.99
1973-07,1973.5370,330.87,330.18,-01,-9.99,-0.99
1973-08,1973.6219,329.31,330.66,-01,-9.99,-0.99
1973-09,1973.7068,327.52,330.56,-01,-9.99,-0.99
1973-10,1973.7890,327.19,330.33,-01,-9.99,-0.99
1973-11,1973.8740,328.17,330.13,-01,-9.99,-0.99
1973-12,1973.9562,328.65,329.45,-01,-9.99,-0.99
1974-01,1974.0411,329.36,329.30,-01,-9.99,-0.99
1974-02,1974.1260,330.71,330.03,-01,-9.99,-0.99
1974-03,1974.2027,331.49,330.15,-01,-9.99,-0.99
1974-04,1974.2877,332.65,330.24,-01,-9.99,-0.99
1974-05,1974.3750,333.19,330.22,13,0.31,0.16
1974-06,1974.4583,332.20,329.79,25,0.37,0.14
1974-07,1974.5417,331.07,330.21,24,0.24,0.09
1974-08,1974.6250,329.15,330.54,26,0.31,0.12
1974-09,1974.7083,327.33,330.44,22,0.47,0.19
1974-10,1974.7917,327.28,330.53,24,0.22,0.09
1974-11,1974.8750,328.31,330.50,26,0.43,0.16
1974-12,1974.9583,329.58,330.55,29,0.29,0.10
1975-01,1975.0417,330.73,330.84,29,0.43,0.15
1975-02,1975.1250,331.46,330.85,26,0.46,0.17
1975-03,1975.2083,331.94,330.37,17,0.33,0.15
1975-04,1975.2917,333.11,330.53,23,0.59,0.24
1975-05,1975.3750,333.95,330.98,28,0.35,0.13
1975-06,1975.4583,333.42,331.01,27,0.48,0.18
1975-07,1975.5417,331.97,331.12,24,0.45,0.18
1975-08,1975.6250,329.95,331.33,24,0.47,0.18
1975-09,1975.7083,328.50,331.60,22,0.53,0.22
1975-10,1975.7917,328.36,331.61,11,0.21,0.12
1975-11,1975.8750,329.38,331.57,18,0.31,0.14
1975-12,1975.9583,330.76,331.73,-01,-9.99,0.00
1976-01,1976.0417,331.56,331.67,19,0.23,0.10
1976-02,1976.1250,332.74,332.13,22,0.49,0.20
1976-03,1976.2083,333.36,331.79,18,0.52,0.23
1976-04,1976.2917,334.74,332.16,18,0.77,0.35
1976-05,1976.3750,334.72,331.75,21,0.56,0.23
1976-06,1976.4583,333.97,331.56,15,0.21,0.10
1976-07,1976.5417,333.08,332.23,15,0.24,0.12
1976-08,1976.6250,330.68,332.07,23,0.51,0.20
1976-09,1976.7083,328.96,332.07,13,0.69,0.37
1976-10,1976.7917,328.72,331.98,19,0.57,0.25
1976-11,1976.8750,330.16,332.35,25,0.36,0.14
1976-12,1976.9583,331.62,332.59,20,0.38,0.16
1977-01,1977.0417,332.68,332.77,23,0.40,0.16
1977-02,1977.1250,333.17,332.58,20,0.34,0.15
1977-03,1977.2083,334.96,333.40,23,0.51,0.21
1977-04,1977.2917,336.14,333.54,20,0.50,0.21
1977-05,1977.3750,336.93,334.00,20,0.31,0.13
1977-06,1977.4583,336.17,333.79,22,0.40,0.16
1977-07,1977.5417,334.89,334.01,20,0.23,0.10
1977-08,1977.6250,332.56,333.91,18,0.46,0.21
1977-09,1977.7083,331.29,334.36,19,0.46,0.20
1977-10,1977.7917,331.28,334.51,23,0.29,0.12
1977-11,1977.8750,332.46,334.68,21,0.43,0.18
1977-12,1977.9583,333.60,334.58,25,0.36,0.14
1978-01,1978.0417,334.94,335.01,22,0.52,0.21
1978-02,1978.1250,335.26,334.60,25,0.50,0.19
1978-03,1978.2083,336.66,335.00,28,0.59,0.21
1978-04,1978.2917,337.69,335.07,18,0.44,0.20
1978-05,1978.3750,338.02,335.08,26,0.46,0.17
1978-06,1978.4583,338.01,335.60,17,0.31,0.15
1978-07,1978.5417,336.50,335.65,20,0.32,0.14
1978-08,1978.6250,334.42,335.87,19,0.32,0.14
1978-09,1978.7083,332.36,335.51,17,0.75,0.35
1978-10,1978.7917,332.45,335.72,21,0.34,0.14
1978-11,1978.8750,333.76,335.99,24,0.25,0.10
1978-12,1978.9583,334.91,335.88,26,0.33,0.12
1979-01,1979.0417,336.14,336.22,27,0.55,0.20
1979-02,1979.1250,336.69,336.00,25,0.30,0.11
1979-03,1979.2083,338.27,336.56,21,0.63,0.26
1979-04,1979.2917,338.82,336.11,24,0.67,0.26
1979-05,1979.3750,339.24,336.24,20,0.50,0.22
1979-06,1979.4583,339.26,336.83,19,0.35,0.15
1979-07,1979.5417,337.54,336.69,26,0.59,0.22
1979-08,1979.6250,335.72,337.20,24,0.60,0.23
1979-09,1979.7083,333.97,337.19,19,0.65,0.29
1979-10,1979.7917,334.24,337.57,25,0.42,0.16
1979-11,1979.8750,335.32,337.59,27,0.30,0.11
1979-12,1979.9583,336.81,337.83,22,0.23,0.09
1980-01,1980.0417,337.90,338.13,29,0.57,0.20
1980-02,1980.1250,338.34,337.85,26,0.49,0.18
1980-03,1980.2083,340.07,338.51,23,0.54,0.22
1980-04,1980.2917,340.93,338.31,24,0.29,0.11
1980-05,1980.3750,341.45,338.40,24,0.54,0.21
1980-06,1980.4583,341.36,338.85,20,0.39,0.17
1980-07,1980.5417,339.45,338.56,26,0.60,0.22
1980-08,1980.6250,337.67,339.07,16,1.05,0.50
1980-09,1980.7083,336.25,339.38,15,0.69,0.34
1980-10,1980.7917,336.14,339.40,26,0.26,0.10
1980-11,1980.8750,337.30,339.46,27,0.26,0.10
1980-12,1980.9583,338.29,339.26,24,0.25,0.10
1981-01,1981.0417,339.29,339.42,28,0.39,0.14
1981-02,1981.1250,340.55,339.98,25,0.65,0.25
1981-03,1981.2083,341.63,340.08,25,0.48,0.19
1981-04,1981.2917,342.60,339.98,26,0.46,0.17
1981-05,1981.3750,343.04,339.97,30,0.19,0.07
1981-06,1981.4583,342.54,340.06,25,0.29,0.11
1981-07,1981.5417,340.82,339.92,24,0.46,0.18
1981-08,1981.6250,338.48,339.87,25,0.48,0.18
1981-09,1981.7083,336.95,340.17,27,0.55,0.20
1981-10,1981.7917,337.05,340.39,25,0.39,0.15
1981-11,1981.8750,338.57,340.75,26,0.31,0.12
1981-12,1981.9583,339.91,340.85,20,0.28,0.12
1982-01,1982.0417,340.93,341.09,28,0.30,0.11
1982-02,1982.1250,341.76,341.16,24,0.49,0.19
1982-03,1982.2083,342.78,341.18,17,0.41,0.19
1982-04,1982.2917,343.96,341.32,7,0.42,0.31
1982-05,1982.3750,344.77,341.67,27,0.37,0.14
1982-06,1982.4583,343.88,341.43,27,0.37,0.14
1982-07,1982.5417,342.42,341.61,28,0.35,0.13
1982-08,1982.6250,340.24,341.64,25,0.61,0.23
1982-09,1982.7083,338.38,341.56,21,0.59,0.25
1982-10,1982.7917,338.41,341.77,26,0.50,0.19
1982-11,1982.8750,339.44,341.59,24,0.39,0.15
1982-12,1982.9583,340.78,341.71,26,0.30,0.11
1983-01,1983.0417,341.57,341.75,28,0.47,0.17
1983-02,1983.1250,342.78,342.25,24,0.37,0.15
1983-03,1983.2083,343.37,341.85,27,0.88,0.32
1983-04,1983.2917,345.40,342.76,23,0.29,0.12
1983-05,1983.3750,346.14,342.97,28,0.51,0.19
1983-06,1983.4583,345.76,343.30,20,0.30,0.13
1983-07,1983.5417,344.32,343.56,22,0.57,0.23
1983-08,1983.6250,342.51,343.89,16,0.73,0.35
1983-09,1983.7083,340.46,343.59,15,0.50,0.25
1983-10,1983.7917,340.53,343.86,20,0.31,0.13
1983-11,1983.8750,341.79,343.92,27,0.33,0.12
1983-12,1983.9583,343.20,344.12,21,0.25,0.10
1984-01,1984.0417,344.21,344.32,23,0.40,0.16
1984-02,1984.1250,344.92,344.39,23,0.32,0.13
1984-03,1984.2083,345.68,344.26,19,0.30,0.13
1984-04,1984.2917,347.37,344.75,2,-9.99,0.00
1984-05,1984.3750,347.78,344.59,20,0.42,0.18
1984-06,1984.4583,347.16,344.73,20,0.31,0.13
1984-07,1984.5417,345.79,345.02,18,0.33,0.15
1984-08,1984.6250,343.74,345.12,12,0.45,0.25
1984-09,1984.7083,341.59,344.76,14,0.72,0.37
1984-10,1984.7917,341.86,345.19,12,0.36,0.20
1984-11,1984.8750,343.31,345.41,18,0.41,0.19
1984-12,1984.9583,345.00,345.88,14,0.53,0.27
1985-01,1985.0417,345.48,345.59,25,0.38,0.14
1985-02,1985.1250,346.41,345.92,15,0.37,0.18
1985-03,1985.2083,347.91,346.56,17,0.34,0.16
1985-04,1985.2917,348.66,346.08,21,0.61,0.25
1985-05,1985.3750,349.28,346.12,20,0.51,0.22
1985-06,1985.4583,348.65,346.23,21,0.34,0.14
1985-07,1985.5417,346.90,346.08,17,0.36,0.17
1985-08,1985.6250,345.26,346.57,16,0.57,0.27
1985-09,1985.7083,343.47,346.59,24,0.57,0.22
1985-10,1985.7917,343.35,346.60,20,0.29,0.13
1985-11,1985.8750,344.73,346.82,21,0.40,0.17
1985-12,1985.9583,346.12,347.04,26,0.62,0.23
1986-01,1986.0417,346.78,346.82,25,0.31,0.12
1986-02,1986.1250,347.48,346.98,25,0.45,0.17
1986-03,1986.2083,348.25,346.93,16,0.70,0.34
1986-04,1986.2917,349.86,347.29,19,0.38,0.17
1986-05,1986.3750,350.52,347.42,18,0.31,0.14
1986-06,1986.4583,349.98,347.61,17,0.25,0.11
1986-07,1986.5417,348.25,347.43,20,0.47,0.20
1986-08,1986.6250,346.17,347.51,18,0.48,0.21
1986-09,1986.7083,345.48,348.62,17,0.63,0.29
1986-10,1986.7917,344.82,348.04,25,0.32,0.12
1986-11,1986.8750,346.22,348.28,21,0.30,0.13
1986-12,1986.9583,347.48,348.36,24,0.35,0.14
1987-01,1987.0417,348.73,348.66,25,0.46,0.17
1987-02,1987.1250,348.92,348.24,25,0.58,0.22
1987-03,1987.2083,349.81,348.39,21,0.35,0.15
1987-04,1987.2917,351.40,348.84,26,0.68,0.25
1987-05,1987.3750,352.15,349.09,28,0.37,0.13
1987-06,1987.4583,351.58,349.29,22,0.21,0.09
1987-07,1987.5417,350.21,349.51,17,0.73,0.34
1987-08,1987.6250,348.20,349.65,15,0.85,0.42
1987-09,1987.7083,346.66,349.85,23,0.61,0.24
1987-10,1987.7917,346.72,349.96,22,0.41,0.17
1987-11,1987.8750,348.08,350.15,23,0.33,0.13
1987-12,1987.9583,349.28,350.14,27,0.20,0.08
1988-01,1988.0417,350.51,350.49,24,0.21,0.08
1988-02,1988.1250,351.70,350.99,23,0.57,0.23
1988-03,1988.2083,352.50,350.99,25,0.78,0.30
1988-04,1988.2917,353.67,351.03,27,0.48,0.18
1988-05,1988.3750,354.35,351.22,28,0.37,0.13
1988-06,1988.4583,353.88,351.55,26,0.30,0.11
1988-07,1988.5417,352.80,352.16,27,0.49,0.18
1988-08,1988.6250,350.49,352.01,26,0.62,0.23
1988-09,1988.7083,348.97,352.18,26,0.47,0.18
1988-10,1988.7917,349.37,352.62,26,0.31,0.12
1988-11,1988.8750,350.42,352.53,25,0.20,0.08
1988-12,1988.9583,351.62,352.52,28,0.36,0.13
1989-01,1989.0417,353.07,352.99,28,0.45,0.16
1989-02,1989.1250,353.43,352.69,25,0.38,0.15
1989-03,1989.2083,354.08,352.60,29,0.53,0.19
1989-04,1989.2917,355.72,353.07,28,0.47,0.17
1989-05,1989.3750,355.95,352.78,27,0.49,0.18
1989-06,1989.4583,355.44,353.06,26,0.42,0.16
1989-07,1989.5417,354.05,353.38,26,0.41,0.15
1989-08,1989.6250,351.84,353.43,25,0.48,0.18
1989-09,1989.7083,350.09,353.37,24,0.69,0.27
1989-10,1989.7917,350.33,353.57,25,0.34,0.13
1989-11,1989.8750,351.55,353.68,27,0.36,0.13
1989-12,1989.9583,352.91,353.84,27,0.48,0.18
1990-01,1990.0417,353.86,353.78,25,0.34,0.13
1990-02,1990.1250,355.10,354.37,28,0.66,0.24
1990-03,1990.2083,355.75,354.27,27,0.57,0.21
1990-04,1990.2917,356.38,353.76,28,0.55,0.20
1990-05,1990.3750,357.38,354.23,28,0.30,0.11
1990-06,1990.4583,356.39,354.02,29,0.40,0.14
1990-07,1990.5417,354.89,354.24,30,0.89,0.31
1990-08,1990.6250,353.06,354.68,22,0.62,0.25
1990-09,1990.7083,351.38,354.69,27,0.72,0.26
1990-10,1990.7917,351.69,354.94,28,0.30,0.11
1990-11,1990.8750,353.14,355.18,24,0.20,0.08
1990-12,1990.9583,354.41,355.26,28,0.51,0.19
1991-01,1991.0417,354.93,354.90,28,0.51,0.18
1991-02,1991.1250,355.82,355.11,26,0.54,0.20
1991-03,1991.2083,357.33,355.79,30,0.73,0.25
1991-04,1991.2917,358.77,356.13,30,0.66,0.23
1991-05,1991.3750,359.23,356.10,29,0.52,0.19
1991-06,1991.4583,358.23,355.88,29,0.30,0.11
1991-07,1991.5417,356.30,355.69,24,0.46,0.18
1991-08,1991.6250,353.97,355.59,23,0.39,0.15
1991-09,1991.7083,352.34,355.66,27,0.37,0.14
1991-10,1991.7917,352.43,355.69,27,0.25,0.09
1991-11,1991.8750,353.89,355.87,28,0.25,0.09
1991-12,1991.9583,355.21,356.02,30,0.34,0.12
1992-01,1992.0417,356.34,356.29,31,0.60,0.21
1992-02,1992.1250,357.21,356.47,27,0.56,0.21
1992-03,1992.2083,357.97,356.38,24,0.72,0.28
1992-04,1992.2917,359.22,356.51,27,0.53,0.20
1992-05,1992.3750,359.71,356.52,26,0.74,0.28
1992-06,1992.4583,359.44,357.07,30,0.49,0.17
1992-07,1992.5417,357.15,356.58,25,0.63,0.24
1992-08,1992.6250,354.99,356.67,24,0.62,0.24
1992-09,1992.7083,353.01,356.36,25,0.98,0.38
1992-10,1992.7917,353.41,356.72,29,0.56,0.20
1992-11,1992.8750,354.42,356.48,29,0.34,0.12
1992-12,1992.9583,355.68,356.50,31,0.32,0.11
1993-01,1993.0417,357.10,357.06,28,0.58,0.21
1993-02,1993.1250,357.42,356.54,28,0.49,0.18
1993-03,1993.2083,358.59,356.88,30,0.72,0.25
1993-04,1993.2917,359.39,356.71,25,0.53,0.20
1993-05,1993.3750,360.30,357.14,30,0.45,0.16
1993-06,1993.4583,359.64,357.24,28,0.35,0.13
1993-07,1993.5417,357.45,356.87,25,0.78,0.30
1993-08,1993.6250,355.76,357.44,27,0.62,0.23
1993-09,1993.7083,354.14,357.51,23,0.73,0.29
1993-10,1993.7917,354.23,357.61,28,0.29,0.11
1993-11,1993.8750,355.53,357.65,29,0.26,0.09
1993-12,1993.9583,357.03,357.92,29,0.28,0.10
1994-01,1994.0417,358.36,358.25,27,0.33,0.12
1994-02,1994.1250,359.04,358.21,25,0.50,0.19
1994-03,1994.2083,360.11,358.41,29,0.82,0.29
1994-04,1994.2917,361.36,358.59,28,0.50,0.18
1994-05,1994.3750,361.78,358.59,30,0.45,0.16
1994-06,1994.4583,360.94,358.57,27,0.30,0.11
1994-07,1994.5417,359.51,358.91,31,0.41,0.14
1994-08,1994.6250,357.59,359.29,24,0.43,0.17
1994-09,1994.7083,355.86,359.31,24,0.58,0.23
1994-10,1994.7917,356.21,359.63,28,0.28,0.10
1994-11,1994.8750,357.65,359.80,28,0.51,0.18
1994-12,1994.9583,359.10,359.96,28,0.46,0.17
1995-01,1995.0417,360.04,359.91,30,0.47,0.16
1995-02,1995.1250,361.00,360.18,28,0.52,0.19
1995-03,1995.2083,361.98,360.37,29,0.78,0.28
1995-04,1995.2917,363.44,360.76,29,0.65,0.23
1995-05,1995.3750,363.83,360.72,29,0.66,0.24
1995-06,1995.4583,363.33,360.98,27,0.37,0.14
1995-07,1995.5417,361.78,361.10,28,0.36,0.13
1995-08,1995.6250,359.33,360.93,24,0.70,0.28
1995-09,1995.7083,358.32,361.70,24,0.68,0.26
1995-10,1995.7917,358.14,361.52,29,0.26,0.09
1995-11,1995.8750,359.61,361.75,26,0.24,0.09
1995-12,1995.9583,360.82,361.67,30,0.36,0.12
1996-01,1996.0417,362.20,361.98,29,0.38,0.13
1996-02,1996.1250,363.36,362.47,28,0.55,0.20
1996-03,1996.2083,364.28,362.64,28,0.67,0.24
1996-04,1996.2917,364.69,361.99,29,0.59,0.21
1996-05,1996.3750,365.25,362.23,30,0.57,0.20
1996-06,1996.4583,365.06,362.82,30,0.38,0.13
